Year,Month,Exports,Imports,Balance of trade
2003,1,169.35,223.85,-54.51
2003,2,160.03,241.79,-81.76
2003,3,185.42,250.87,-65.46
2003,4,180.06,272.54,-92.48
2003,5,174.94,251.11,-76.17
2003,6,188.91,252.74,-63.82
2003,7,182.39,272.54,-90.15
2003,8,164.92,221.76,-56.84
2003,9,188.45,249.94,-61.50
2003,10,179.59,261.59,-81.99
2003,11,184.49,237.36,-52.88
2003,12,203.82,248.31,-44.49
2004,1,164.72,251.51,-86.79
2004,2,176.55,250.92,-74.37
2004,3,207.71,325.87,-118.16
2004,4,178.12,404.48,-226.36
2004,5,178.34,250.88,-72.54
2004,6,170.75,228.50,-57.74
2004,7,160.61,269.53,-108.92
2004,8,165.74,231.75,-66.01
2004,9,183.12,221.74,-38.62
2004,10,171.40,287.48,-116.08
2004,11,180.56,315.23,-134.67
2004,12,177.98,288.68,-110.70
2005,1,138.81,237.14,-98.33
2005,2,139.91,237.34,-97.43
2005,3,157.17,237.47,-80.31
2005,4,157.06,247.35,-90.29
2005,5,167.46,294.12,-126.65
2005,6,164.24,244.94,-80.70
2005,7,151.48,259.18,-107.70
2005,8,151.92,231.51,-79.59
2005,9,173.12,249.42,-76.30
2005,10,167.81,301.37,-133.56
2005,11,197.11,322.80,-125.69
2005,12,189.97,253.63,-63.66
2006,1,187.86,224.09,-36.23
2006,2,157.73,333.10,-175.38
2006,3,193.20,302.75,-109.55
2006,4,191.95,293.18,-101.23
2006,5,255.72,347.44,-91.72
2006,6,206.29,312.89,-106.60
2006,7,194.28,301.26,-106.98
2006,8,187.25,301.89,-114.64
2006,9,219.75,266.46,-46.71
2006,10,224.94,305.19,-80.26
2006,11,265.70,293.59,-27.89
2006,12,207.11,253.03,-45.93
2007,1,179.92,242.94,-63.01
2007,2,171.57,246.80,-75.24
2007,3,227.47,370.79,-143.32
2007,4,185.94,263.45,-77.51
2007,5,228.10,280.73,-52.63
2007,6,317.51,350.00,-32.49
2007,7,221.49,332.03,-110.54
2007,8,187.16,260.78,-73.62
2007,9,202.13,273.29,-71.16
2007,10,206.98,385.59,-178.61
2007,11,207.99,295.16,-87.17
2007,12,255.10,300.01,-44.91
2008,1,209.09,301.34,-92.25
2008,2,199.99,278.64,-78.65
2008,3,207.30,296.20,-88.91
2008,4,190.71,372.28,-181.57
2008,5,193.79,324.74,-130.95
2008,6,208.48,307.59,-99.11
2008,7,206.71,418.22,-211.51
2008,8,180.43,292.52,-112.08
2008,9,216.88,328.31,-111.43
2008,10,229.08,365.34,-136.26
2008,11,196.95,328.95,-132.00
2008,12,210.73,278.96,-68.24
2009,1,142.26,299.13,-156.87
2009,2,141.97,215.28,-73.31
2009,3,173.35,328.15,-154.80
2009,4,157.99,293.46,-135.48
2009,5,161.27,281.15,-119.88
2009,6,166.04,257.98,-91.94
2009,7,193.41,368.47,-175.06
2009,8,161.16,315.88,-154.71
2009,9,206.38,276.10,-69.73
2009,10,195.18,300.73,-105.56
2009,11,184.23,266.94,-82.72
2009,12,194.87,270.90,-76.03
2010,1,192.07,235.88,-43.82
2010,2,214.52,329.29,-114.78
2010,3,227.83,355.41,-127.58
2010,4,211.45,332.66,-121.21
2010,5,250.68,340.93,-90.25
2010,6,257.70,339.73,-82.04
2010,7,248.45,438.10,-189.66
2010,8,209.47,404.62,-195.16
2010,9,217.28,363.08,-145.80
2010,10,237.80,406.04,-168.24
2010,11,287.12,430.53,-143.41
2010,12,251.16,354.99,-103.82
2011,1,285.57,345.46,-59.89
2011,2,207.36,413.84,-206.48
2011,3,274.70,409.65,-134.94
2011,4,269.94,481.13,-211.19
2011,5,196.75,414.41,-217.66
2011,6,295.47,369.91,-74.45
2011,7,213.83,388.15,-174.32
2011,8,214.91,355.37,-140.46
2011,9,418.87,436.01,-17.14
2011,10,447.18,492.51,-45.33
2011,11,669.38,835.88,-166.50
2011,12,324.08,399.47,-75.39
2012,1,316.42,444.63,-128.21
2012,2,409.92,505.00,-95.08
2012,3,298.41,420.25,-121.83
2012,4,310.90,442.13,-131.23
2012,5,390.81,597.44,-206.63
2012,6,348.36,626.19,-277.83
2012,7,436.49,784.05,-347.57
2012,8,418.88,530.09,-111.20
2012,9,409.92,468.19,-58.26
2012,10,337.92,406.20,-68.28
2012,11,387.67,563.34,-175.66
2012,12,367.19,402.10,-34.91
2013,1,301.05,413.98,-112.93
2013,2,321.98,417.84,-95.85
2013,3,378.03,455.90,-77.87
2013,4,365.84,605.70,-239.85
2013,5,343.53,516.26,-172.72
2013,6,264.38,456.18,-191.79
2013,7,294.68,595.21,-300.52
2013,8,303.25,456.92,-153.67
2013,9,404.98,464.44,-59.46
2013,10,242.88,414.96,-172.07
2013,11,355.83,378.61,-22.78
2013,12,348.02,462.82,-114.79
2014,1,350.60,456.67,-106.07
2014,2,283.80,416.53,-132.73
2014,3,347.40,478.40,-131.00
2014,4,330.67,457.31,-126.64
2014,5,358.40,484.66,-126.26
2014,6,288.95,644.75,-355.79
2014,7,326.69,623.77,-297.08
2014,8,267.36,558.94,-291.58
2014,9,339.86,618.45,-278.59
2014,10,344.79,664.12,-319.33
2014,11,292.44,531.23,-238.78
2014,12,237.32,467.54,-230.21
2015,1,308.09,423.25,-115.16
2015,2,249.12,625.41,-376.29
2015,3,305.85,544.43,-238.59
2015,4,357.59,462.18,-104.58
2015,5,251.88,692.27,-440.39
2015,6,322.77,600.44,-277.67
2015,7,358.23,591.33,-233.09
2015,8,272.00,456.58,-184.57
2015,9,316.82,473.78,-156.96
2015,10,366.42,419.38,-52.96
2015,11,253.40,436.96,-183.56
2015,12,239.59,404.41,-164.82
2016,1,207.50,349.88,-142.37
2016,2,235.38,796.03,-560.65
2016,3,402.02,569.41,-167.39
2016,4,318.43,548.30,-229.87
2016,5,365.68,604.52,-238.84
2016,6,352.86,590.46,-237.60
2016,7,546.44,681.73,-135.29
2016,8,293.51,498.27,-204.76
2016,9,284.27,464.67,-180.39
2016,10,294.42,535.76,-241.34
2016,11,362.40,448.21,-85.81
2016,12,267.70,412.99,-145.29
2017,1,263.20,600.29,-337.10
2017,2,269.28,381.17,-111.89
2017,3,301.92,464.42,-162.51
2017,4,282.60,509.28,-226.69
2017,5,285.23,755.24,-470.01
2017,6,293.34,427.94,-134.60
2017,7,293.56,514.20,-220.64
2017,8,254.88,418.69,-163.81
2017,9,268.78,498.48,-229.70
2017,10,386.78,558.99,-172.21
2017,11,406.14,552.98,-146.84
2017,12,403.53,518.29,-114.76
2018,1,286.75,502.79,-216.04
2018,2,293.37,479.36,-185.98
2018,3,267.26,492.83,-225.58
2018,4,278.15,539.25,-261.11
2018,5,251.75,642.06,-390.32
2018,6,310.49,596.96,-286.47
2018,7,316.96,551.21,-234.25
2018,8,273.30,614.28,-340.99
2018,9,238.04,413.80,-175.76
2018,10,325.51,602.84,-277.33
